,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
time,0.008,0.016,0.024,0.032,0.04,0.048,0.056,0.064,0.072,0.08,0.088,0.096,0.104,0.112,0.12,0.128,0.136,0.144,0.152,0.16,0.168,0.176,0.184,0.192,0.2,0.208,0.216,0.224,0.232,0.24,0.248,0.256,0.264,0.272,0.28,0.288,0.296,0.304,0.312,0.32,0.328,0.336,0.344,0.352,0.36,0.368,0.376,0.384,0.392,0.4,0.408,0.416,0.424,0.432,0.44,0.448,0.456,0.464,0.472,0.48,0.488,0.496,0.504,0.512,0.52,0.528,0.536,0.544,0.552,0.56,0.568,0.576,0.584,0.592,0.6,0.608,0.616,0.624,0.632,0.64,0.648,0.656,0.664,0.672,0.68,0.688,0.696,0.704,0.712,0.72,0.728,0.736,0.744,0.752,0.76,0.768,0.776,0.784,0.792,0.8,0.808,0.816,0.824,0.832,0.84,0.848,0.856,0.864,0.872,0.88,0.888,0.896,0.904,0.912,0.92,0.928,0.936,0.944,0.952,0.96,0.968,0.976,0.984,0.992,1.0
acc_label_h,0.5546666666666666,0.5566666666666666,0.5506666666666666,0.5573333333333333,0.556,0.5606666666666666,0.5633333333333334,0.564,0.5733333333333334,0.5746666666666667,0.5713333333333334,0.568,0.5713333333333334,0.572,0.5746666666666667,0.5673333333333334,0.57,0.5766666666666667,0.5786666666666667,0.5773333333333334,0.5813333333333334,0.5873333333333334,0.5893333333333334,0.5913333333333334,0.594,0.598,0.5966666666666667,0.5973333333333334,0.5933333333333334,0.5873333333333334,0.5906666666666667,0.5906666666666667,0.5926666666666667,0.5873333333333334,0.5873333333333334,0.5893333333333334,0.5913333333333334,0.5906666666666667,0.5893333333333334,0.5953333333333334,0.594,0.592,0.5946666666666667,0.5953333333333334,0.598,0.598,0.6006666666666667,0.606,0.6053333333333333,0.6113333333333333,0.612,0.612,0.6133333333333333,0.618,0.6153333333333333,0.6133333333333333,0.616,0.6133333333333333,0.616,0.6153333333333333,0.618,0.6166666666666667,0.6186666666666667,0.6213333333333333,0.6226666666666667,0.622,0.6206666666666667,0.6193333333333333,0.6166666666666667,0.6146666666666667,0.618,0.618,0.62,0.6186666666666667,0.6173333333333333,0.6166666666666667,0.616,0.614,0.614,0.6146666666666667,0.616,0.618,0.6153333333333333,0.618,0.618,0.622,0.6233333333333333,0.6226666666666667,0.6226666666666667,0.6233333333333333,0.6213333333333333,0.622,0.6226666666666667,0.628,0.6273333333333333,0.6246666666666667,0.6226666666666667,0.6226666666666667,0.6206666666666667,0.6226666666666667,0.622,0.6213333333333333,0.6226666666666667,0.6233333333333333,0.6233333333333333,0.624,0.6286666666666667,0.6273333333333333,0.6286666666666667,0.63,0.6326666666666667,0.6326666666666667,0.636,0.6413333333333333,0.6426666666666667,0.6426666666666667,0.6433333333333333,0.6413333333333333,0.6446666666666667,0.6446666666666667,0.644,0.6453333333333333,0.646,0.6493333333333333,0.648
acc_label_e,0.5986666666666667,0.5913333333333334,0.5913333333333334,0.5946666666666667,0.5926666666666667,0.592,0.594,0.5933333333333334,0.596,0.604,0.606,0.6106666666666667,0.61,0.6086666666666667,0.608,0.6106666666666667,0.608,0.6153333333333333,0.6126666666666667,0.6173333333333333,0.618,0.6186666666666667,0.6193333333333333,0.6226666666666667,0.6246666666666667,0.6253333333333333,0.6286666666666667,0.624,0.6246666666666667,0.6273333333333333,0.6293333333333333,0.6273333333333333,0.628,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6273333333333333,0.6293333333333333,0.6293333333333333,0.632,0.6373333333333333,0.6353333333333333,0.6353333333333333,0.6373333333333333,0.64,0.646,0.644,0.646,0.646,0.6473333333333333,0.646,0.646,0.6446666666666667,0.6446666666666667,0.6433333333333333,0.6446666666666667,0.6453333333333333,0.6473333333333333,0.648,0.6486666666666666,0.6466666666666666,0.6506666666666666,0.6506666666666666,0.65,0.6493333333333333,0.6506666666666666,0.6493333333333333,0.6506666666666666,0.6506666666666666,0.654,0.6546666666666666,0.6553333333333333,0.654,0.6573333333333333,0.6553333333333333,0.6546666666666666,0.6533333333333333,0.6546666666666666,0.6533333333333333,0.6533333333333333,0.6526666666666666,0.6526666666666666,0.6526666666666666,0.6513333333333333,0.65,0.6486666666666666,0.6493333333333333,0.6526666666666666,0.654,0.654,0.6553333333333333,0.656,0.6566666666666666,0.6573333333333333,0.6553333333333333,0.656,0.6546666666666666,0.6553333333333333,0.6566666666666666,0.6573333333333333,0.656,0.656,0.656,0.6573333333333333,0.6573333333333333,0.6573333333333333,0.658,0.656,0.6573333333333333,0.6573333333333333,0.656,0.6573333333333333,0.656,0.656,0.6573333333333333,0.658,0.658,0.6573333333333333,0.6566666666666666,0.6586666666666666,0.6586666666666666,0.658,0.658,0.6593333333333333
acc_label_x,0.766,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7673333333333333,0.7673333333333333,0.768,0.7693333333333333,0.7693333333333333,0.7686666666666667,0.7686666666666667,0.7686666666666667,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.7673333333333333,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667
acc_label_a,0.7353333333333333,0.736,0.7373333333333333,0.7366666666666667,0.7373333333333333,0.7366666666666667,0.7353333333333333,0.7353333333333333,0.7373333333333333,0.738,0.7373333333333333,0.738,0.738,0.74,0.74,0.7386666666666667,0.7373333333333333,0.738,0.7366666666666667,0.7366666666666667,0.736,0.7366666666666667,0.736,0.736,0.7366666666666667,0.7373333333333333,0.7373333333333333,0.7373333333333333,0.7373333333333333,0.7373333333333333,0.7373333333333333,0.7373333333333333,0.7366666666666667,0.7366666666666667,0.7373333333333333,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.7353333333333333,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7353333333333333,0.7353333333333333,0.736,0.736,0.736,0.736,0.736,0.736,0.7353333333333333,0.736,0.736,0.736,0.736,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
acc_label_c,0.628,0.6266666666666667,0.6293333333333333,0.6286666666666667,0.6293333333333333,0.6306666666666667,0.63,0.632,0.6346666666666667,0.6373333333333333,0.642,0.64,0.646,0.65,0.6473333333333333,0.65,0.6513333333333333,0.6553333333333333,0.6573333333333333,0.6573333333333333,0.656,0.656,0.6553333333333333,0.6533333333333333,0.65,0.6493333333333333,0.6493333333333333,0.6506666666666666,0.6506666666666666,0.6526666666666666,0.65,0.6506666666666666,0.6493333333333333,0.648,0.65,0.6493333333333333,0.6506666666666666,0.6513333333333333,0.6513333333333333,0.6513333333333333,0.6513333333333333,0.65,0.6486666666666666,0.6473333333333333,0.646,0.646,0.6466666666666666,0.648,0.6473333333333333,0.6466666666666666,0.6486666666666666,0.6486666666666666,0.646,0.646,0.6453333333333333,0.6446666666666667,0.644,0.642,0.6413333333333333,0.6406666666666667,0.6406666666666667,0.6413333333333333,0.6426666666666667,0.6426666666666667,0.644,0.644,0.644,0.644,0.644,0.6466666666666666,0.646,0.646,0.6466666666666666,0.646,0.6466666666666666,0.6466666666666666,0.646,0.6473333333333333,0.6473333333333333,0.6473333333333333,0.6466666666666666,0.646,0.646,0.646,0.6453333333333333,0.6453333333333333,0.6453333333333333,0.6453333333333333,0.646,0.6473333333333333,0.6473333333333333,0.6473333333333333,0.6466666666666666,0.6473333333333333,0.6473333333333333,0.6466666666666666,0.6473333333333333,0.648,0.6486666666666666,0.6486666666666666,0.6486666666666666,0.6486666666666666,0.6486666666666666,0.65,0.65,0.65,0.65,0.6486666666666666,0.6493333333333333,0.65,0.65,0.65,0.65,0.65,0.65,0.6506666666666666,0.6506666666666666,0.6506666666666666,0.6506666666666666,0.65,0.6506666666666666,0.6506666666666666,0.6513333333333333,0.6526666666666666,0.6533333333333333
acc_label_o,0.5506666666666666,0.55,0.5453333333333333,0.5466666666666666,0.5486666666666666,0.5533333333333333,0.5573333333333333,0.5626666666666666,0.5666666666666667,0.5666666666666667,0.568,0.5693333333333334,0.57,0.5653333333333334,0.5613333333333334,0.5613333333333334,0.562,0.566,0.5646666666666667,0.5713333333333334,0.5766666666666667,0.5833333333333334,0.5866666666666667,0.584,0.5853333333333334,0.58,0.5766666666666667,0.574,0.5793333333333334,0.5793333333333334,0.5786666666666667,0.5793333333333334,0.5773333333333334,0.5806666666666667,0.58,0.5806666666666667,0.5826666666666667,0.5846666666666667,0.5853333333333334,0.5926666666666667,0.5946666666666667,0.5986666666666667,0.5966666666666667,0.5933333333333334,0.5986666666666667,0.6013333333333334,0.608,0.6113333333333333,0.614,0.612,0.612,0.6113333333333333,0.6173333333333333,0.6186666666666667,0.6193333333333333,0.6173333333333333,0.616,0.614,0.6113333333333333,0.612,0.6133333333333333,0.6133333333333333,0.616,0.6186666666666667,0.6213333333333333,0.6233333333333333,0.6233333333333333,0.622,0.626,0.6293333333333333,0.6306666666666667,0.632,0.63,0.6313333333333333,0.6333333333333333,0.6366666666666667,0.6346666666666667,0.6353333333333333,0.636,0.632,0.6326666666666667,0.6346666666666667,0.632,0.6333333333333333,0.63,0.6306666666666667,0.632,0.6306666666666667,0.632,0.634,0.6333333333333333,0.632,0.634,0.638,0.6366666666666667,0.6346666666666667,0.6353333333333333,0.634,0.6353333333333333,0.6366666666666667,0.638,0.638,0.6386666666666667,0.642,0.6466666666666666,0.65,0.6486666666666666,0.6486666666666666,0.6513333333333333,0.6506666666666666,0.6506666666666666,0.6533333333333333,0.654,0.656,0.656,0.656,0.6566666666666666,0.6566666666666666,0.6593333333333333,0.6593333333333333,0.6606666666666666,0.6586666666666666,0.6613333333333333,0.6626666666666666,0.6613333333333333
