,Fp1-DELTA,Fp1-THETA,Fp1-ALPHA,Fp1-BETA,Fp1-Gamma,Fp2-DELTA,Fp2-THETA,Fp2-ALPHA,Fp2-BETA,Fp2-Gamma,F3-DELTA,F3-THETA,F3-ALPHA,F3-BETA,F3-Gamma,F4-DELTA,F4-THETA,F4-ALPHA,F4-BETA,F4-Gamma,F7-DELTA,F7-THETA,F7-ALPHA,F7-BETA,F7-Gamma,F8-DELTA,F8-THETA,F8-ALPHA,F8-BETA,F8-Gamma,P7-DELTA,P7-THETA,P7-ALPHA,P7-BETA,P7-Gamma,P8-DELTA,P8-THETA,P8-ALPHA,P8-BETA,P8-Gamma,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,id,category,label_h,label_e,label_x,label_a,label_c,label_o
1154,-102.95151703753606,-94.57085431017019,-98.11053590295886,-105.38882950708037,-112.10628252313755,-115.68724531143616,-116.71771000201483,-116.75947983614631,-118.47948765484661,-118.88547855149675,-121.16433312180652,-120.09769418952453,-120.05411749511151,-116.18878623705677,-116.53040447063808,-120.09644164668558,-120.24664471107278,-120.30895776890048,-120.59612291796145,-118.49490250434437,-117.033554265947,-118.4390112177721,-120.92636841562991,-120.70100935272183,-120.22931844485336,-119.64558557893909,-118.90939359319614,-118.39342097043344,-119.42712023627638,-121.60475085967593,-120.32911898878987,-121.21207426378109,-120.49381345636311,-118.38404449692639,-121.18499722837419,-120.85824657674308,-120.54393321462327,-120.91592240317175,-121.21121752405887,-121.76865071993662,-120.34427632676076,-121.30121651584736,-121.57060251597076,-121.0197798104148,-123.96882914314006,-123.01737700830094,-122.61857971270415,-120.7348818208423,-124.01364599911847,-125.44213082489934,-124.31226437780394,-124.88267403480904,-125.4039147195028,-123.97272240286034,-123.034181543709,-124.49905131845165,-126.16591909166254,-125.79806193438024,-125.53299914078977,-127.38886300363397,-125.04603437459008,-124.70176690582393,-125.08744455179428,-126.86755785350502,-129.54121278035575,29,4,1.0,1.0,0.0,0.0,0.0,1.0
1155,-105.14151837164962,-95.97893951586242,-99.29731175793842,-105.65374555050127,-113.52289948075638,-116.39202732080442,-117.28285113165803,-117.49920469631535,-119.24642308553013,-120.56951123806473,-121.45821182584024,-120.94156944382186,-117.91472268272587,-117.74571800961917,-118.76469007530272,-121.11751162068796,-120.3893163367208,-120.82145440875675,-119.2454132851009,-118.81776520234067,-116.96699526118445,-119.37662093611365,-121.262124050273,-121.11334168574396,-119.80925254289653,-121.3009407056716,-119.74492554336697,-118.51845425494989,-119.14637155581545,-121.25415671409316,-120.676023609727,-121.055671080986,-119.66102482034003,-119.26395010833106,-121.22323631502618,-122.85952688589137,-120.21980583840424,-120.29380834108181,-121.30519856572079,-121.65311688296767,-120.93126501041333,-121.24777249514537,-123.50014426611898,-121.96668774685844,-123.67628968592291,-122.9625886219907,-123.00187249105088,-123.24369162299905,-123.66605321218981,-123.84460275075924,-124.68038953371762,-128.56757579704035,-124.47460178905757,-124.77022917246627,-124.2571738333277,-125.06227748677617,-124.66498246783107,-124.8720155748358,-125.42000645184913,-125.82618251050448,-124.44184954520787,-124.39637137486734,-125.9182483614161,-126.56645230514619,-128.2371443715647,29,5,1.0,1.0,0.0,0.0,0.0,1.0
1156,-108.93313390602742,-101.49570328975426,-106.68599440975768,-110.75069157503962,-116.36326874294865,-119.02143704229209,-116.73296204129673,-118.3756962263111,-119.89699179098756,-120.80305973186539,-121.72375604637008,-120.19468602751243,-116.94093108562637,-118.02084975970716,-121.28864884738587,-121.11285186291823,-120.04124753323202,-118.29603468436548,-117.34811767499284,-118.98230104360394,-120.47172675504795,-120.58798506808282,-121.0957701775591,-119.73132548051152,-119.01147251523491,-120.02885509447611,-121.10119701150455,-120.68786703729299,-121.61836204238121,-119.52676235047431,-120.69758291535305,-121.37374505018795,-122.98368736095944,-121.30685724345214,-120.1015381876398,-119.48693612327979,-120.90095068545631,-121.68787144922854,-122.08397010534648,-121.14163781764658,-120.29376072692023,-122.06861919045495,-122.58447064089098,-122.67901378525355,-122.99256828236052,-123.29727153092357,-123.11646895786535,-123.31668880841802,-123.16665472357252,-123.65476243217356,-125.26028076087515,-126.7290695188816,-122.3080441954145,-121.8380007239364,-124.29454036434163,-125.55042970774372,-125.33971748307499,-124.81580254993197,-125.02032404950236,-125.33969019908645,-126.63736186338369,-127.61641556328406,-126.43416457887069,-124.83959307155102,-127.27398374859037,29,5,1.0,1.0,0.0,0.0,0.0,1.0
1157,-111.07172885076014,-96.25448818979406,-100.77010697354038,-104.33534634512056,-109.5864016474473,-113.81546199927756,-116.04097139307765,-115.34065193480555,-117.46337925210759,-119.51570960017136,-119.55842884895324,-120.11843752014127,-119.79049743738697,-119.4251800556111,-118.31307110550577,-118.28248584531964,-119.77347232009345,-119.85308629593362,-120.91002241128692,-119.365993795451,-120.3254962296029,-119.41327216625422,-118.62509760643897,-120.02879851893641,-120.24927652374878,-121.76005336764624,-120.99561099717587,-119.45389755513852,-119.84119760030072,-118.5329637961454,-118.32767467434843,-121.06455700547663,-120.11973159266117,-120.17576445371938,-118.84187770405572,-120.93398242872297,-120.6938714955736,-119.63600235079717,-120.8858069546302,-123.69862236212718,-121.42733571152954,-121.40341099036786,-122.43906500398579,-122.46061138030667,-123.3291735091933,-122.59484049949901,-121.87593257841463,-123.89393008807997,-124.1600619239284,-125.14224460673177,-126.41341387228533,-124.65496323005077,-124.70644099604101,-123.93588671172233,-125.5359699538403,-124.75643103852383,-126.59407912251766,-125.99396180679958,-125.75144035478851,-126.1154239737437,-125.57922983396281,-127.54397146129523,-127.34155023668512,-125.67982551676468,-128.00432294329227,29,5,1.0,1.0,0.0,0.0,0.0,1.0
1158,-103.52285089406885,-96.26121007700081,-100.32028212571147,-107.51150916922884,-115.25484705851449,-116.79569505003406,-116.57066856542835,-118.49728471336113,-120.48149816130203,-120.74993391312866,-120.51806879943221,-120.571178406545,-118.83505326308118,-117.05250341322238,-120.2088650802499,-122.24840712149853,-121.78748900816927,-121.13576863464117,-118.51321136164613,-116.65177093521329,-119.9012187045828,-122.02782679795646,-121.59960405528837,-120.7235955836928,-119.03772369966795,-119.71950606466208,-122.20549165437953,-122.59407619690765,-122.19311191253148,-120.08463794955017,-119.25495662519586,-118.73704231542061,-118.19155813765985,-121.90521373740829,-121.22458936397302,-121.35118163685063,-120.14668503625778,-121.3279406775691,-120.34715396742075,-122.42811050569698,-123.26775713590409,-121.95701442139995,-121.30205649919583,-121.0142251386209,-120.51957291009342,-122.2115445795476,-123.19805523139408,-124.03320895485054,-123.44187105877228,-123.01317974709676,-122.57647165716129,-125.66140774978065,-126.09436682151829,-124.46774995301328,-123.83646121067711,-124.73234336196933,-124.79359581549693,-124.95292090280532,-126.58254930370344,-127.21585024868781,-126.92356528396219,-127.81491380036967,-127.7044193562353,-127.13888512335897,-127.13989070794582,29,5,1.0,1.0,0.0,0.0,0.0,1.0
1159,-101.5880040271266,-91.81963352075178,-95.28223050648477,-101.43374156061725,-108.13744155376263,-113.75752942371109,-116.15054948015782,-117.21002143527303,-119.66639639580983,-120.82537599376573,-120.61453976821007,-120.76234244882966,-117.08552171850643,-117.56235908385636,-118.86235904934887,-119.2348223537839,-120.81952044248541,-121.11014431071624,-118.66114510145184,-118.10489340581645,-119.12784950719875,-119.69307054147191,-118.06923681684196,-118.71880553830088,-116.89315965944607,-113.2957409702106,-114.03663520640595,-118.17916193037142,-119.48683803087428,-119.48923192188958,-118.82137808009608,-118.87039577979755,-120.60935068445771,-120.93925901690173,-122.85533789616937,-122.09017774749144,-119.8686722434962,-119.73172657116025,-120.1915454354201,-121.6771295033576,-121.91436597855855,-122.43904553625087,-120.5627226020642,-121.51631902090513,-122.10834192034751,-122.54067182570495,-122.52944713501574,-122.26743385972789,-124.02618425072174,-123.89370466660522,-126.29584067821531,-128.30102333467792,-126.57478484569198,-124.06884196525581,-124.13025818301853,-126.18397220333009,-127.01499465142966,-125.62106168037077,-125.7864331659607,-126.83770885192885,-126.94918115761436,-125.28287453406351,-126.76710731070686,-127.43541129742275,-129.96204571374187,29,5,1.0,1.0,0.0,0.0,0.0,1.0
1160,-115.07549368844775,-96.14133632766158,-100.24801450044875,-107.0730764064274,-112.00164086602422,-114.53562363767563,-115.64216835705813,-117.74700497300941,-119.87155074641379,-120.08711875374235,-121.50673256156468,-120.2497190190705,-117.40231587736595,-118.04956320487058,-120.9061022010112,-119.87713927714859,-120.41556634678605,-120.92265746141823,-119.33648247395001,-118.9297203700198,-119.94137189189942,-120.57415819655297,-120.54677877356988,-120.28544219703129,-117.67787633378066,-119.47207448074468,-120.40055042409477,-119.06451144363007,-119.70298089824507,-120.35658943537223,-119.70044398013991,-119.11165011694752,-121.24780095307239,-118.97724093404827,-120.77639568067184,-120.61643546176481,-120.29900092056954,-122.19405925943738,-123.4794973098077,-120.58254575379307,-119.71872586662911,-122.81324899096965,-121.53910968291038,-121.51937536204929,-122.40505864270273,-123.51416928585658,-121.72367977310086,-122.2338450663568,-124.27468515747465,-124.66309307195175,-125.3721683343322,-126.91080972476277,-124.37968064675472,-125.2160255053308,-127.10240217357922,-127.55025396971133,-126.41056784927056,-124.8648816450418,-127.96004462353439,-124.7242160000012,-125.7289130956635,-126.59825687527275,-126.11205860713973,-126.83678193118718,-129.54232604242063,29,4,1.0,1.0,0.0,0.0,0.0,1.0
1161,-105.47822431860025,-96.87141555834813,-104.09323589733832,-110.87847311710317,-114.5760706873348,-117.27982682114295,-117.86718261546083,-119.05555489968219,-119.89591702525139,-121.00787898602138,-120.7651940754574,-119.09216566836348,-118.06949136521638,-118.40002777056941,-118.37018185389203,-120.76379995559564,-121.17724511219437,-118.63596865962883,-119.39800882358703,-118.9723411229946,-120.21631448912281,-120.55470384427686,-119.82069765974018,-118.91875654775221,-119.8199839003653,-120.70327520345329,-122.47618918384967,-120.56272547488533,-119.54806549090767,-119.80940440278188,-119.33658661202554,-119.87567321941619,-120.62170825853354,-119.73619608012339,-120.16150898194026,-119.85313153398842,-120.19024206261545,-121.57181401140954,-123.68408607356479,-122.09813365189241,-121.33135596166855,-122.50197343704455,-121.44354018015109,-121.34638337304706,-123.85135479783696,-121.99753792334832,-122.45545025845315,-123.72944990108316,-123.77821229408299,-123.28179400829413,-123.89899497694059,-124.74243315959193,-124.3202811453234,-124.74948652632176,-127.15075136250888,-126.94891726401933,-126.33454845262166,-125.52174402996769,-126.14740040666382,-126.61059474233403,-127.08856468679267,-129.54662488498116,-127.15468065496074,-127.14645945663204,-131.74879258697533,29,4,1.0,1.0,0.0,0.0,0.0,1.0
1162,-108.68128623620296,-96.89074511798319,-102.062637872283,-107.77773024381577,-112.93812394651135,-116.25535707607517,-116.08596601286354,-117.81029350241242,-120.4114301064858,-121.38463242619117,-121.63557994979033,-120.4294628305646,-118.2855981505007,-118.36009359198216,-119.35589026630204,-122.60147363314621,-121.31410908766468,-120.3254824777558,-119.0314875175437,-119.3178254228023,-119.56006709349545,-121.42482768054948,-119.88984612861886,-119.63621377216724,-118.79659999150422,-118.92683665994568,-124.02950264888106,-119.64098643450751,-118.54435333777944,-119.12287942720997,-119.84045046720311,-119.79136257309685,-120.82706684328913,-121.0007410648526,-121.02043602277588,-120.44247699735237,-118.83670401723349,-120.00765783281857,-124.00089150418303,-122.67555799701212,-122.24697400802293,-121.8855683908187,-121.32742956258829,-121.54188650000205,-123.85303144878421,-123.37688952735677,-123.74711050596042,-122.489881257116,-122.50431562667757,-121.319902420613,-124.62347556681335,-127.38091708242874,-124.57452216889021,-124.4129197211827,-123.65219358138717,-125.6958115451065,-127.53189523112772,-128.14409910080585,-127.30992587123805,-126.1140925845509,-126.4903816182129,-126.98885755817801,-126.85173862085938,-127.27847510782014,-132.89570843689407,29,4,1.0,1.0,0.0,0.0,0.0,1.0
1163,-112.042579469672,-101.0337386787696,-109.44271937778393,-114.82211159571017,-118.99799914333995,-120.89440515213627,-118.18203612942548,-119.60730337769664,-120.92133028851592,-121.38154191251868,-121.1599064077263,-118.99652915268496,-117.15050482645384,-117.36040243521772,-120.45001604191889,-122.03691059777414,-122.82186515709506,-121.11514494896562,-117.73065571921802,-118.48135943383616,-119.85113969931678,-122.47461104993539,-121.69331042997511,-120.54889792678452,-119.22144755392199,-121.05830283949244,-121.45021904927064,-120.10415582150227,-121.68093537551397,-123.07936657652564,-120.21142723977567,-119.55000493224043,-120.6402822219558,-118.95440473948261,-120.22348854381667,-123.58960459950902,-122.3154272762345,-119.21304024448293,-120.77966234309825,-121.87719256438953,-120.51910692331477,-122.2258224591438,-122.93896478051951,-121.60903185169676,-123.17280556107234,-123.48545702298009,-121.77442260209331,-122.11592886560453,-124.17735776846435,-124.03033428918286,-123.59666929263642,-127.11464145707096,-126.4291139116254,-125.80476662556896,-124.44729157280891,-125.0268094416581,-124.54392915554325,-126.27976349055388,-126.670838845113,-127.22316596410501,-127.43809884250007,-127.4889873697728,-127.67324558777068,-127.31278670797391,-131.2444454260844,29,4,1.0,1.0,0.0,0.0,0.0,1.0
